path_to_file_name	nhãn
img/00352.png	00352.png
img/02335.png	02335.png
img/03002.png	03002.png
img/04664.png	04664.png
img/05526.png	05526.png
img/07764.png	07764.png
img/08288.png	08288.png
img/09324.png	09324.png
img/09342.png	09342.png
img/09457.png	09457.png
img/20457.png	20457.png
img/20470.png	20470.png
img/22297.png	22297.png
img/24030.png	24030.png
img/24690.png	24690.png
img/27659.png	27659.png
img/28487.png	28487.png
img/29968.png	29968.png
img/30384.png	30384.png
img/30952.png	30952.png
img/32380.png	32380.png
img/32683.png	32683.png
img/33758.png	33758.png
img/34444.png	34444.png
img/34599.png	34599.png
img/35602.png	35602.png
img/35739.png	35739.png
img/36850.png	36850.png
img/37799.png	37799.png
img/38843.png	38843.png
img/38997.png	38997.png
img/39392.png	39392.png
img/40066.png	40066.png
img/40825.png	40825.png
img/40842.png	40842.png
img/42247.png	42247.png
img/44843.png	44843.png
img/45429.png	45429.png
img/49304.png	49304.png
img/50666.png	50666.png
img/52605.png	52605.png
img/52692.png	52692.png
img/57633.png	57633.png
img/57889.png	57889.png
img/57923.png	57923.png
img/63095.png	63095.png
img/63648.png	63648.png
img/64897.png	64897.png
img/65823.png	65823.png
img/67303.png	67303.png
img/70363.png	70363.png
img/72263.png	72263.png
img/73047.png	73047.png
img/73236.png	73236.png
img/74852.png	74852.png
img/80404.png	80404.png
img/82355.png	82355.png
img/82723.png	82723.png
img/83828.png	83828.png
img/84968.png	84968.png
img/85000.png	85000.png
img/85502.png	85502.png
img/90654.png	90654.png
img/90705.png	90705.png
img/92695.png	92695.png
img/93042.png	93042.png
img/94054.png	94054.png
img/94234.png	94234.png
img/95006.png	95006.png
img/95586.png	95586.png
img/97389.png	97389.png
img/99594.png	99594.png
